block,district
371910002003039,21
371910003022012,21
371910003022006,21
371910003022008,21
371910003032023,21
371910003032015,21
371910003022015,21
371910003022005,21
371910003022003,21
371910006043040,21
371910006043038,21
371910006043039,21
371910002002000,21
371910002001017,21
371910002003034,21
371910002003026,21
371910002001015,21
371910002001003,21
371910002001002,21
371910002001001,21
371910002001016,21
371910002001000,21
371910002003033,21
371910002003029,21
371910002003025,21
371910002003032,21
371910002003030,21
371910002003028,21
371910002003031,21
371910002003021,21
371910002003023,21
371910002003027,21
371910002003024,21
371910002003020,21
371910002003022,21
371910002003007,21
371910002003006,21
371910002003008,21
371910002003009,21
371910002003005,21
371910002001004,21
371910018002032,21
371910018002021,21
371910018002033,21
371910018002031,21
371910018002023,21
371910018002022,21
371910018002029,21
371910019003002,21
371910019001036,21
371910018002028,21
371910018002027,21
371910019001035,21
371910019001034,21
371910018002024,21
371910018002025,21
371910001032008,21
371910001032003,21
371910001032002,21
371910001032053,21
371910001032000,21
371910001032004,21
371910001032047,21
371910001032024,21
371910001043000,21
371910001032048,21
371910001032022,21
371910001032023,21
371910001032020,21
371910001032021,21
371910001032009,21
371910001032007,21
371910001032019,21
371910001032013,21
371910001032014,21
371910001032049,21
371910001043005,21
371910001032050,21
371910001032052,21
371910001032017,21
371910001032016,21
371910001031061,21
371910001031062,21
371910001031060,21
371910001031059,21
371910001032051,21
371910001031018,21
371910001031017,21
371910001032018,21
371910001032015,21
371910001032001,21
371910001031016,21
371910001031015,21
371910001031010,21
371910001031013,21
371910001031014,21
371910001031012,21
371910001031011,21
371910001032012,21
371910001032036,21
371910001032056,21
371910001032011,21
371910001032010,21
371910001032006,21
371910001032005,21
371639701024011,22
371639701024013,22
371639701024012,22
371639701023012,22
371639701023021,22
371639701023004,22
371639701023011,22
371639701023005,22
371639702024001,22
371639702021047,22
371639702024000,22
371639702021046,22
371639701023003,22
371639702023043,22
371639702023039,22
371639702023040,22
371639701023010,22
371639701023006,22
371639701023013,22
371639701023002,22
371639702023041,22
371639701023001,22
371639701023009,22
371639701023008,22
371639701022017,22
371639701023000,22
371639710021067,22
371639710021068,22
371639710031055,22
371639710031054,22
371639710031056,22
371639710031050,22
371639710031051,22
371639710031053,22
371639710031052,22
371639710031026,22
371639710031049,22
371639710031027,22
371639710031029,22
371639703031014,22
371639703042017,22
371639703042018,22
371639703042015,22
371639703042009,22
371639703042007,22
371639703041035,22
371639703041034,22
371639703032009,22
371639703042022,22
371639703042023,22
371639703041032,22
371639703041029,22
371639703041031,22
371639703041033,22
371639703031020,22
371639703031021,22
371639703031015,22
371639703031010,22
371639703031009,22
371639703031011,22
371639703031023,22
371639703031032,22
371639703031027,22
371639703031022,22
371639703031026,22
371639703022004,22
371639703031025,22
371639703031024,22
371639703031007,22
371639703031013,22
371639703031005,22
371639703031001,22
371639703031002,22
371639703031006,22
371639703031008,22
371639703032007,22
371639703031003,22
371639703032002,22
371639703031004,22
371639703042002,22
371639703042001,22
371639703031000,22
371639703042010,22
371639703042003,22
371639703042019,22
371639703042012,22
371639704011026,22
371639704011004,22
371639704011003,22
371639704012024,22
371639704011036,22
371639704011002,22
371639704012017,22
371639704011001,22
371639704012022,22
371639704011039,22
371639704023003,22
371639704023009,22
371639704023002,22
371639704023001,22
371639704023008,22
371639704023000,22
371639704023025,22
371639704021042,22
371639704021018,22
371639704021028,22
371639704023005,22
371639704021014,22
371639704021013,22
371639704021019,22
371639704021015,22
371639704021029,22
371639704021020,22
371639704021030,22
371639704021017,22
371639704021016,22
371639705011037,22
371639705011038,22
371639704011025,22
371639704011027,22
371639704011023,22
371639704011014,22
371639704011022,22
371639704011021,22
371639704011028,22
371639704011030,22
371639704011029,22
371639704011020,22
371639704011019,22
