block,district
371470019002014,4
371470019003031,4
371470019002015,4
371470019003025,4
371470019003026,4
371470019003019,4
371470019003037,4
371470019003024,4
371470019003018,4
371470019003014,4
371470019003017,4
370650216003012,4
370650216001025,4
370650216001024,4
371470019003021,4
371470019003022,4
370650216001019,4
370650216001026,4
370650216001017,4
370650216001014,4
370650216001018,4
370650216001008,4
371470019003020,4
371470019003023,4
370650216001020,4
371470019003004,4
371470019003009,4
371470019003008,4
371470019003010,4
370650216001021,4
370650216001004,4
370650216001022,4
370650216001001,4
371470018005036,4
371470018005019,4
371470018005048,4
371470018005037,4
371470018005020,4
371470018005038,4
371470018005021,4
371470018005017,4
371470018005015,4
371470018005018,4
371470018005009,4
371470018005002,4
371470018005004,4
371470018005003,4
371470018001029,4
371470018001006,4
371470018005008,4
371470018005016,4
371470018005007,4
371470018005006,4
371470018005005,4
371470018001028,4
371470018001005,4
371470018001010,4
371470019001038,4
371470019001037,4
371470019002043,4
371470019002044,4
371470019002042,4
371470019002041,4
371470019002034,4
371470018005000,4
371470018001002,4
371470018001030,4
371470018001001,4
371470018001003,4
371470018001004,4
371470018001007,4
371470018001000,4
371470019002013,4
371470019002033,4
371470019001036,4
371470019001024,4
371470019001020,4
371470019001023,4
371470019002020,4
371470019001010,4
371470019001035,4
371470019001009,4
371470019002027,4
371470019002030,4
371470019002029,4
371470019002021,4
371470019002028,4
371470019002022,4
371470019002019,4
371470019002008,4
371470019002018,4
371470019002026,4
371470019002023,4
371470019002025,4
371470019002024,4
371470019002016,4
371470019002017,4
371470019001014,4
371470019001018,4
371470019001003,4
371470019001017,4
371470019001019,4
371470019002009,4
371470019002007,4
371470019002006,4
371470019002004,4
371470019002003,4
370650216003024,4
371470019001000,4
371470019002001,4
370650216003017,4
370650216003028,4
370650216003016,4
370650216003029,4
370650216003008,4
371470019002010,4
371470019002012,4
371470019002002,4
371470019002005,4
371470019002011,4
371470019002000,4
370650216003015,4
371470019003027,4
370650216003013,4
370650216003003,4
370650216003019,4
370650216003018,4
370650216003007,4
370650216003000,4
370650216002035,4
370650216002000,4
370650215003024,4
370650216001027,4
370650215002000,4
370650216003009,4
370650216003002,4
370650216003014,4
370650216003001,4
370650216003010,4
370650216003011,4
370650216001028,4
370650216001023,4
370650216001012,4
370650216001011,4
370650216001013,4
370650216001016,4
370650216001015,4
370650216001010,4
370650216001009,4
370650214002033,4
370650215003007,4
370650214002034,4
370650214002023,4
370650215003002,4
370650215003003,4
370650214002021,4
370650214002015,4
370650214002011,4
370650214002022,4
370650214002016,4
370650215003010,4
370650215001029,4
370650215002022,4
370650215001028,4
370650215002004,4
370650215002002,4
370650215001021,4
370650215001031,4
370650215001022,4
370650215001032,4
370650215001024,4
370650215001023,4
370650215001007,4
370650215001002,4
370650215001025,4
370650215001027,4
370650215001026,4
370650215001004,4
370650215001003,4
370650215001006,4
370650215003000,4
370650214002020,4
370650213002064,4
370650213003027,4
370650213002055,4
370650215001038,4
370650215001035,4
370650215001000,4
370650215001001,4
370650216001007,4
370650216001006,4
370650215001036,4
370650215001037,4
370650213003028,4
370650213003026,4
370650213003025,4
370650213002058,4
370650213002057,4
370650213002052,4
370650213002051,4
370650213002056,4
370650213002050,4
370650213002049,4
370650213002021,4
370650213002020,4
370650213002016,4
370650213002017,4
370650213002022,4
370650213002023,4
370650213002018,4
370650213002039,4
370650213002038,4
370650213002045,4
370650213002044,4
370650213002046,4
370650213002048,4
370650213002042,4
370650213002043,4
370650213002040,4
370650213002041,4
370650213002047,4
370650213002033,4
370650213002024,4
370650213002027,4
370650213002025,4
370650213002026,4
370650212004008,4
370650212004006,4
370650212004007,4
370650212004005,4
370650213002035,4
370650213002034,4
370650212001022,4
370650212004003,4
370650212004009,4
370650212004004,4
371270103021008,11
371270103022031,11
371270103021009,11
371270103021007,11
371270103022034,11
371270103021006,11
371270103021005,11
371270103021010,11
371270103021004,11
371270103022032,11
371270103022029,11
370650206002043,4
370650206002041,4
370650206002016,4
370650206002015,4
370650213002031,4
370650211001016,4
370650213002032,4
370650211001015,4
370650211001017,4
370650211001006,4
370650211001007,4
370650213002000,4
370650211001014,4
370650211001018,4
370650211001019,4
370650211001020,4
370650211001012,4
370650211001005,4
370650206002042,4
370650206002014,4
370650206002013,4
370650207002042,4
370650207002019,4
370650207002043,4
370650206002012,4
370650207002040,4
370650207002041,4
370650207002031,4
370650207002026,4
370650207002027,4
370650207002025,4
370650207002028,4
370650207002033,4
370650207002029,4
370650206001003,4
370650206001002,4
370650206001000,4
371270107001053,11
371270107001046,11
371270107001048,11
371270107001047,11
371270107001045,11
371270107001054,11
371270107001055,11
371270107001026,11
371270107001039,11
371270107001025,11
371270107001027,11
371270107001028,11
371270107001049,11
370650207001045,4
371270107001050,11
370650207001042,4
370650207001024,4
370650207001036,4
371270107001038,11
371270107001037,11
371270107001036,11
371270107001029,11
371270107001030,11
370650207001043,4
371270107001051,11
370650207001025,4
370650207001026,4
370650207001037,4
370650207001038,4
370650207001031,4
370650207001030,4
371270107001035,11
371270107001034,11
370650207001027,4
371270107001031,11
371270107001032,11
371270107001033,11
370650207001028,4
370650207001029,4
370650207001023,4
370650207001035,4
370650207001034,4
370650207001032,4
370650207001020,4
370650207001033,4
370650207001021,4
370650207001019,4
370650207001016,4
370650207002017,4
370650207002016,4
370650207002020,4
370650207002015,4
370650207001040,4
370650207001039,4
370650207001011,4
370650207002002,4
370650207001044,4
370650207002030,4
370650207002021,4
370650207002005,4
370650207002001,4
370650207001010,4
370650207001001,4
371270115011065,9
371270115012042,9
371270115012044,9
371270115012047,9
371270115012041,9
371270115012040,9
371950016002014,9
371950016002013,9
371950016002012,9
371950016002002,9
371950015022032,9
371950016002017,9
371950016002016,9
371950016002015,9
371950016002010,9
371950016002009,9
371950016002008,9
371950016002011,9
371950016002001,9
371950016002000,9
371950015022034,9
371950016002003,9
371950015022031,9
371950015022025,9
371950015022035,9
371950015022030,9
371950015022029,9
371950015022018,9
370690608022008,11
370690608022005,11
370690608023016,11
370690608022009,11
370690608023015,11
370690608023014,11
370690608023006,11
370690608023004,11
370690608023005,11
370690602001013,11
370690602001007,11
370690602001014,11
370690602002013,11
370690602001006,11
370690602002070,11
370690602002015,11
370690602002002,11
370690602002011,11
370690602002012,11
370690602002014,11
370690602002029,11
370690602002009,11
370690602002003,11
370690602002001,11
371950008022043,11
371950008022049,11
371950008022062,11
371950008022032,11
371950008022044,11
371950008022033,11
371950008022045,11
371950008022050,11
371950008022051,11
371950008022046,11
371950008022022,11
371950008022027,11
371950008022012,11
371950008022023,11
371950008022024,11
371950008022026,11
371950008022025,11
371950008022009,11
371950008022013,11
371950003002038,11
371950003002036,11
371950003002035,11
371950003002034,11
371950003002033,11
371950008022011,11
371950008022010,11
371950003002032,11
371950008022004,11
371950003002024,11
371950003002028,11
371950003002025,11
371950003002015,11
371950003002029,11
371950003002030,11
371950003002026,11
371950003002003,11
371950003002002,11
371950002001052,11
371950002001063,11
371950002001057,11
371950003002001,11
371950003002000,11
371950002001055,11
371950002001056,11
371950003002031,11
371950003002027,11
371950002001053,11
371950002001058,11
371950002001054,11
371950002001059,11
371950002001041,11
371950008022005,11
371950008012021,11
371950008022003,11
371950008022002,11
371950008022008,11
371950008022001,11
371950008012020,11
371950008022000,11
371950008021023,11
371950002001040,11
371950002001038,11
371950008012008,11
371950008012018,11
370690604032014,11
370690604032019,11
370690604032023,11
370690604032016,11
370690604032004,11
370690604032002,11
370690604032003,11
370690604032025,11
370690604032024,11
370690604041007,11
370690604032000,11
370690601001010,11
371950006021019,9
371950006021021,9
371950006011002,9
371950006011008,9
371950006011017,9
371950006011007,9
371950006011005,9
371950006011001,9
371950006021015,9
371950006021016,9
371950006021010,9
371950006021017,9
371950006021003,9
371950006021001,9
371950006021008,9
371950006021005,9
371950006021012,9
371950006021002,9
371950006021000,9
371950006021006,9
371950014011004,9
371950006021007,9
371950006022054,9
371950014011006,9
371950014012034,9
371950014012038,9
371950006021011,9
371950006021009,9
371950006022025,9
371950006022029,9
371950014012037,9
371950014012035,9
371950006022027,9
371950006022028,9
371950006022031,9
371950009002011,9
371950009002003,9
371950009002004,9
371950009002002,9
371950009002000,9
371950009002001,9
371950008022029,11
371950008022030,11
371950008022042,11
371950008022041,11
371950008022031,11
371950008022028,11
371950009001009,9
371950009001017,9
371950009001011,9
371950009001010,9
371950009001024,9
371950009001018,9
371950009001025,9
371950009001016,9
371950009001015,9
371950009001012,9
371950004021033,11
371950009001001,9
371950009001004,9
371950004021038,11
371950004022049,9
371950004022041,9
371950009001003,9
371950009001006,9
371950009001075,9
371950009001005,9
371950009001002,9
371950004022048,9
371950009001076,9
371950009001074,9
371950004022045,9
371950004021032,11
371950004021030,11
371950004022043,9
371950009001008,9
371950009001007,9
371950004022047,9
371950004022042,9
371950004022039,9
371950004022044,9
371950009002014,9
371950009001061,9
371950009001062,9
371950009001050,9
371950009001073,9
371950009001040,9
371950009001041,9
371950009001042,9
371950009001043,9
371950009001026,9
371950009001044,9
371950009001051,9
371950009001059,9
371950009001052,9
371950009001047,9
371950009001046,9
371950009001048,9
371950009001063,9
371270113001018,9
371270113001017,9
371270113001008,9
371950017002021,9
371950017001004,9
371950017001005,9
371950017001006,9
371950017001003,9
371950017002018,9
371950017002015,9
371950017002007,9
371950017002016,9
371950017002017,9
371950009001067,9
371950009001032,9
371950017001002,9
371950017001000,9
371950017001001,9
371950017002019,9
371950009001035,9
371950009002017,9
371950009001072,9
371950009001069,9
371950009001071,9
371950009001070,9
371950009001065,9
371950009001066,9
371950009001036,9
371950009001034,9
371950009001031,9
371950009001068,9
371950009001060,9
371950009001037,9
371950009001049,9
371950009001038,9
371950009001039,9
371950009001030,9
371950009001029,9
371950009001028,9
371950009001033,9
371950009001020,9
371950009001021,9
371950009001019,9
371950015021077,9
371950009001000,9
371950015021104,9
371950009001022,9
371950009001023,9
371950015012013,9
371950015011024,9
371950015011025,9
371950015011027,9
371950015011036,9
371950015011023,9
371950015012014,9
371950015012004,9
371270114003021,9
371950015012003,9
371270114003020,9
371950015012002,9
371950015012001,9
371950017002040,9
371950017002035,9
371950017002022,9
371950017002039,9
371950017002034,9
371950015022045,9
371950017002011,9
371950015022050,9
371950015022046,9
371950015022002,9
371950015022001,9
371950015021103,9
371950015022047,9
371950015021100,9
371950017002025,9
371950017002026,9
371950017002008,9
371950017002032,9
371950017002009,9
371950017002027,9
371950017002028,9
371950017002033,9
371950017001008,9
371950017001007,9
371950017002020,9
370799503013048,9
370799503013053,9
370799503013054,9
370799503013047,9
370799503013052,9
370799503013051,9
371470015001045,4
371470015001043,4
371470015001025,4
371470015001008,4
371470015001024,4
371470015001002,4
371470015001001,4
371470015001000,4
371470015001026,4
371470015001023,4
371470015001007,4
371470015001048,4
371470015001022,4
371470015001013,4
371470015001014,4
371470015001003,4
371470015001004,4
371470015001056,4
371470015001049,4
371470015001018,4
371470015001046,4
371470015001021,4
371470015001015,4
371470015001006,4
371470015001020,4
371470015001017,4
371470015001016,4
371470012002059,4
371470012002039,4
371470015001005,4
371470012002040,4
371470012002030,4
371470012002031,4
371470012002033,4
371470012002043,4
371470012002032,4
370799503013044,9
370799503013037,9
370799503013028,9
370799503013021,9
370799503013020,9
370799503013029,9
370799503013019,9
370799503013018,9
370799503013015,9
370799503013031,9
370799503013030,9
370799503013038,9
370799503013001,9
370799503013005,9
370799503013004,9
370799503013008,9
370799503013006,9
370799503013003,9
370799503013007,9
370799503013017,9
370799503013009,9
370799503013016,9
370799503013010,9
370799503013045,9
370799503013011,9
370799503013002,9
370799501023048,9
370799503013046,9
370799503013012,9
370799503013014,9
370799503013013,9
370799501023041,9
370799501023042,9
370799501023036,9
370799501023040,9
370799501023038,9
370799501023039,9
370799503013039,9
370799503013040,9
370799503013041,9
370799503013042,9
370799503013000,9
370799501021027,9
370799501021026,9
370799501021022,9
370799501021023,9
370799501023033,9
370799501022005,9
370799501023032,9
370799501023030,9
370799501022006,9
370799501022007,9
370799501023029,9
370799501023028,9
370799501023018,9
370799501023017,9
370799501023031,9
370799501023024,9
370799501023026,9
370799501023027,9
370799501023025,9
370799501023019,9
370799501023020,9
370799501023022,9
370799501023021,9
370799501023013,9
370799501023014,9
370799501023037,9
370799501023034,9
370799501023023,9
370799501023012,9
370799501023015,9
370799501023016,9
370799501023011,9
370799501023008,9
370799501021019,9
370799501021025,9
370799501023035,9
370799501021018,9
370799501021024,9
370799501021029,9
370799501021012,9
370799501021003,9
370799501021006,9
370799501021021,9
370799501021020,9
370799501021010,9
370799501021016,9
370799501021015,9
370799501021017,9
371470016012009,4
370799501023004,9
370799501023003,9
370799501023000,9
370799501023006,9
371470018005049,4
371470018005052,4
371470018005062,4
371470018005053,4
371470018003010,4
371470018003016,4
371470018005050,4
371470018005051,4
371470018003024,4
371470018003023,4
371470018003028,4
371470018003026,4
371470018003027,4
371470018003020,4
371470018003002,4
371470018003022,4
371470018003019,4
371470018003021,4
371470018003025,4
370799501023007,9
370799501021001,9
370799501021002,9
371470018005068,4
371470018005067,4
370799501021000,9
371470016021020,4
371470018003018,4
371470018003017,4
371470018003000,4
371470016021019,4
371470018005061,4
371470018005054,4
371470018005060,4
371470018005059,4
371470018005058,4
371470018005047,4
371470018005055,4
371470018003015,4
371470018005056,4
371470018005057,4
371470018003012,4
371470018005046,4
371470018005039,4
371470018005045,4
371470018005044,4
371470018005040,4
371470018005041,4
371470018004047,4
371470018004045,4
371470018004044,4
371470018003014,4
371470018003013,4
371470018003007,4
371470018003006,4
371470018005043,4
371470018005042,4
371470018004041,4
371470018004042,4
371470018004043,4
371470018005022,4
371470018004046,4
371470018004037,4
371470018004038,4
371470018004039,4
371470018004036,4
371470018004035,4
371470018004027,4
371470018004025,4
371470018004026,4
371470018004023,4
371470018004024,4
371470018005063,4
371470018004005,4
371470018004040,4
371470018004034,4
371470018004028,4
371470018004029,4
371470018004033,4
