block,district
371830534282047,1
371830534282053,1
371830534281002,1
371830534281003,1
371830534281061,1
371830532092000,1
371830532081041,1
371830532092001,1
371830532092074,1
371830534281062,1
371830534281057,1
371830534281066,1
371830534281063,1
371830534281064,1
371830534281056,1
371830534281043,1
371830534282043,1
371830534282037,1
371830534282041,1
371830534282040,1
371830532081011,1
371830532081040,1
371830532081010,1
371830534282036,1
371830534282039,1
371830532081009,1
371830534282045,1
371830534282048,1
371830534282046,1
371830534282050,1
371830534282049,1
371830534282044,1
371830534282052,1
371830534282038,1
371830534282042,1
371830534282011,1
371830534282051,1
371830534282013,1
371830534282007,1
371830534282009,1
371830534282029,1
371830534282008,1
371830534282057,1
371830534282058,1
371830534282012,1
371830534282014,1
371830534282056,1
371830534282027,1
371830534282028,1
371830544021027,4
371830544021029,4
371830544021030,4
371830544021015,4
371830544021023,4
371830544021020,4
371830544021003,4
371830544041068,4
371830544021019,4
371830544041060,4
371830544041059,4
371830544021018,4
371830544021017,4
371830544021016,4
371830544021004,4
371830544021005,4
371830544021002,4
371830544021007,4
371830544041061,4
371830544021001,4
371830544041063,4
371830544021006,4
371830544021008,4
371830544021013,4
371830544021011,4
371830544021009,4
371830544021010,4
371830544021012,4
371830543062042,4
371830541091024,4
371830541091032,4
371830541082078,4
371830541082064,4
371830541081000,4
371830541082080,4
371830541082072,4
371830541082073,4
371830541082074,4
371830541082077,4
371830541082075,4
371830541081010,4
371830541081004,4
371830541081014,4
371830541081003,4
371830541081008,4
371830541081001,4
371830541081012,4
371830541081013,4
371830541081002,4
371830541083021,4
371830541083022,4
371830541083020,4
371830541082071,4
371830541083015,4
371830541083016,4
371830541082070,4
371830541082076,4
371830541082066,4
371830541083009,4
371830541082069,4
371830528071016,4
371830528071000,4
371830528071026,4
371830528071023,4
371830528071022,4
371830542184008,5
371830542181009,5
371830542181006,5
371830542181007,5
371830542184020,5
371830542181005,5
371830542181011,5
371830542184021,5
371830542184023,5
371830542184015,5
371830542171008,5
371830542184007,5
371830542184005,5
371830528071029,4
371830528071030,4
371830528071025,4
371830528071024,4
371830528072056,4
371830528072071,4
371830528092010,4
371830528072042,4
