block,district
370970613032024,1
370970613032066,1
370970613031039,1
370970613031041,1
370970613031035,1
370970613031036,1
370970613031019,1
370970613031015,1
370970613031018,1
370970613031020,1
370970613031057,1
370970613031016,1
370970613032021,1
370970613032019,1
370970613032018,1
370970613032022,1
370970613032010,1
370970613032020,1
370970613032011,1
370970613032012,1
370970613032007,1
370970613032009,1
370970613031021,1
370970613031022,1
370970613032008,1
370970613023044,1
370970613032006,1
370970613032005,1
370970613023042,1
370970613023038,1
370970615022040,1
370970613031003,1
370970613031002,1
370970613031000,1
370970614072061,1
370970614072009,1
370970614072005,1
370970614072004,1
370970614072007,1
370970614072062,1
370970614081040,1
370970616041050,1
370970616041049,1
370970614081041,1
370970614081028,1
370970614081029,1
370970614081030,1
370970614081013,1
370970614081033,1
370970614072003,1
370970614072002,1
370970614072000,1
370970616041032,1
370970616041029,1
370970616041039,1
370970616041041,1
370970616041040,1
370970616041030,1
370970615032047,1
370970616041031,1
370970616041026,1
370970616041027,1
370970615032012,1
370970616041042,1
370970615032046,1
370970614081024,1
370970614081025,1
370970614081026,1
370970614081031,1
370970615032051,1
370970615032041,1
370970615032050,1
370970615032040,1
370970615032043,1
370970615032056,1
370970615032044,1
370970615032045,1
370970615032049,1
370970615032048,1
370970615032042,1
370970615032057,1
370970615032055,1
370970613031046,1
370970613031049,1
370970613031048,1
370970613042013,1
370970613042016,1
370970613042010,1
370970613042012,1
370970613022018,1
370970613022020,1
370970613022019,1
370970613022016,1
370970613031004,1
370970613031027,1
370970613031026,1
370970613031058,1
370970613031029,1
370970613031009,1
370970613031023,1
370970613031024,1
370970613031025,1
370970613031011,1
370970613031030,1
370970613031012,1
370970613031031,1
370970613031010,1
370970613031008,1
370970613031013,1
370970613031007,1
370970613031005,1
370970613031006,1
370970613021028,1
370970613042000,1
370970613042002,1
370970613021029,1
370970613022017,1
370970613041038,1
370970613041023,1
370970613041039,1
370970616011003,1
370970613041040,1
370970613041042,1
370970613041041,1
370970613041024,1
370970613041033,1
370970613041018,1
370970613041022,1
370970613041014,1
370970613041017,1
370970613043007,1
370970613043003,1
370970613041015,1
370970613043000,1
370970613042015,1
370970613041008,1
370970613041025,1
370970613041016,1
370970613041010,1
370970613041019,1
370970613041006,1
370970613041007,1
370970613041013,1
370970613041012,1
370970613041001,1
370970613041000,1
370970613041011,1
370970613041009,1
370970613041002,1
370970613041003,1
370970616011002,1
370970616012021,1
370970612033009,1
370970612033020,1
370970612033004,1
370970612033002,1
370970612031043,1
370970612033003,1
