block,district
371570402002027,1
371570402002024,1
371570402003000,1
371570402002023,1
371570402001038,1
371570402001042,1
371570402003025,1
371570402003005,1
371570402003003,1
371570402003004,1
371570402001012,1
371570402001037,1
371570402001036,1
371570402001009,1
371570402002001,1
371570402001017,1
371570402002002,1
371570402001016,1
371570402001015,1
371570402001006,1
371570402001039,1
371570402001040,1
371570402001030,1
371570402001035,1
371570402001014,1
371570402001010,1
371570402001008,1
371570402001013,1
371570402001004,1
371570402001005,1
371570402001007,1
371570402001011,1
371570401011019,1
371570402001000,1
371570401011020,1
371570402001001,1
371570402001003,1
371570402001002,1
371570401012025,1
371570401012027,1
371570401012026,1
371570411005027,1
371570411005010,1
371570401012014,1
371570411005005,1
371570411005004,1
371570411005006,1
371570411005001,1
371570402003032,1
371570402003027,1
371570402003026,1
371570411005000,1
371570402003031,1
371570402003028,1
371570402001041,1
371570401011023,1
371570401011022,1
371570401011021,1
371570411005026,1
371570401012032,1
371570401012033,1
371570401012022,1
371570401012012,1
371570401012021,1
371570401012030,1
371570401012020,1
371570401012013,1
371570401011024,1
371570401012011,1
371570401012010,1
371570402003029,1
371570402003002,1
371570402003006,1
371570402003001,1
371570402002025,1
371570402002021,1
371570402002022,1
371570402002026,1
371570402002028,1
371570402002008,1
371570402002004,1
371570402002005,1
371570411005035,1
371570411005038,1
371570411005039,1
371570411005028,1
371570413004006,1
371570413004007,1
371570414003009,1
371570414003000,1
371570413004005,1
371570401023009,1
371570412001004,1
371570411002021,1
371570412001041,1
371570412001005,1
371570412001000,1
371570411002020,1
371570412001001,1
371570411002017,1
371570411002019,1
371570412002002,1
371570412002000,1
371570412001006,1
371570412003003,1
371570412003007,1
371570412001003,1
371570412003004,1
371570412003002,1
371570412003005,1
371570412003001,1
371570412003000,1
371570401013020,1
371570412001002,1
371570411002018,1
371570401013019,1
371570401013003,1
371570401013014,1
371570401013013,1
371570401013005,1
371570411002000,1
371570401013007,1
371570401013006,1
371570414002011,1
371570414002010,1
371570415023013,1
371570414002009,1
371570414002012,1
371570415023029,1
371570415023005,1
371570414002004,1
371570414002002,1
371570415021004,1
371570415021022,1
371570415021009,1
371570412001033,1
371570415021003,1
371570412001035,1
371570412001032,1
371570412001034,1
371570415021008,1
371570415021002,1
371570415022032,1
371570415021010,1
371570415021014,1
371570415021013,1
371570415021011,1
371570415021015,1
371570415021016,1
371570415022029,1
371570415021001,1
371570415021012,1
371570412001030,1
371570412001031,1
371570415021000,1
371570415022028,1
371570415022005,1
371570415022027,1
371570415022007,1
371570415022009,1
371570415022006,1
371570412004049,1
371570412004048,1
371570412004020,1
371570415022002,1
371570412004021,1
